à		Vit, I, E
ta thán		Vit
tà		N, Aa
tà dâm		Aa
tà dương		N
tà đạo		N
tà gian		Aa
tà giáo		N
tà khí		N
tà ma		N
tà tà		Jr
tà tâm		N
tà thuật		N
tà thuyết		N
tà vẹt		N, Ng
tà ý		N
tả		N, Vt, Aa
tả biên		N
tả chân		Vit
tả dực		N
tả đạo		N
tả hữu		N
tả khuynh		Aa
tả ngạn		N, Ng
tả thực		Vit
tả tơi		Aa
tả xung hữu đột		Vit
tã		N, Ng, Aa
tã lót		N, Ng
tá		N, Vt, I
tá dược		N, Ng
tá điền		N, Ng
tá hoả		Vit
tá lả		N
tá tràng		N, Ng
tá túc		Vit
tạ		N, Vt
tạ sự		Vt
tạ thế		Vit
tạ từ		Vt
tabu		Np
tác		N, Vit
tác chiến		Vit
tác dụng		N, Vt
tác động		N, Vt
tác gia		N, Ng
tác giả		N, Ng
tác hại		N, Vit
tác hợp		Vt
tác nghiệp		Vit
tác nhân		N
tác oai tác quái		Vit
tác phẩm		N, Ng
tác phong		N
tác quyền		N
tác thành		Vt
tạc		Vt
tạc đạn		N, Ng
tách		N, Vt
tách bạch		Vt, Aa
tách biệt		Vt, Aa
taekwondo		Np
tai		N, Ng, Vt
tai ác		Aa
tai ách		N
tai bay vạ gió		Np
tai biến		N
tai chua		N, Ng
tai-ga		Np
tai hại		N, Aa
tai hoạ		N
tai hồng		N, Ng
tai mắt		N, Ng
tai nạn		N
tai ngược		Aa
tai quái		Aa
tai tiếng		N
tai to mặt lớn		Vit
tai ương		N
tai vạ		N
tai vách mạch rừng		X
tài		N, Aa
tài ba		N, Aa
tài bàn		N
tài bồi		Vt
tài cán		N, Aa
tài chính		N
tài chủ		N
tài danh		N
tài đức		N
tài giảm		Vt
tài giỏi		Aa
tài hoa		Aa
tài khoá		N
tài khoản		N
tài khoản kí quỹ		N
tài khoản ký quỹ		N
tài khoản vãng lai		N
tài liệu		N, Ng
tài lực		N
tài nào mà chẳng		X
tài năng		N
tài nghệ		N
tài nguyên		N, Ng
tài phán		Vit
tài phiệt		N
tài sản		N, Ng
tài sản cố định		N, Ng
tài sản lưu động		N, Ng
tài sắc		Aa
tài tình		Aa
tài trí		N
tài trợ		Vt
tài tử		N, Aa
tài vụ		N
tài xế		N, Ng
tải		N, Vt
tải điện		Vit
tải thương		Vit
tải trọng		N
tãi		Vt
tái		Aa
tái bản		Vit
tái bút		Vit
tái chế		Vt
tái cử		Vit
tái diễn		Vit
tái đăng		Vit
tái giá		Vit
tái giảng		Vit
tái hiện		Vt
tái hồi		Vit
tái hợp		Vit
tái lập		Vt
tái mét		Aa
tái ngắt		Aa
tái ngộ		Vit
tái ngũ		Vit
tái nhập		Vt
tái nhiễm		Vit
tái nhợt		Aa
tái phạm		Vt
tái phát		Vit
tái sản xuất		Vit
tái sinh		Vit
tái tạo		Vt
tái tê		Aa
tái thẩm		Vit
tái thế		Vit
tái thiết		Vt
tái vũ trang		Vit
tái xanh		Aa
tái xuất		Vit
tại		Cm
tại chỗ		Aa
tại chức		Aa
tại gia		Aa
tại ngoại		Aa
tại ngoại hậu cứu		Aa
tại ngũ		Aa
tại trận		Aa
taiga		Np
taka		Np
tala		Np
tam		N
tam bản		N, Ng
tam bành		Vit
tam bảo		N, Ng
tam cấp		N, Ng
tam cúc		N, Ng
tam cương		N, Ng
tam đại		N, Aa
tam đoạn luận		N
tam giác		N, Ng
tam giác cân		N, Ng
tam giác cầu		N, Ng
tam giác đều		N, Ng
tam giác vuông		N, Ng
tam giáo		N, Ng
tam giáp		N
tam hợp		N
tam khoanh tứ đốm		X
tam khôi		N
tam nguyên		N
tam quan		N
tam quyền phân lập		N
tam sao thất bản		Aa
tam sinh		N
tam suất		N
tam tài		N, Ng
tam tam chế		N
Tam Tạng		Np
tam tấu		N, Vit
tam thất		N, Ng
tam thể		N, Ng
tam thừa		N
tam thức		N
tam toạng		Aa
tam tòng		N
tam trường		N
tàm tạm		Aa
tám		Nn
tám đời		X
tám hoánh		N
tám mươi		Nn
tám thơm		N, Ng
tám xoan		N, Ng
tạm		Aa
tạm biệt		Vt
tạm bợ		Aa
tạm quyền		Vt
tạm thời		Aa
tạm trú		Vit
tạm tuyển		Vit
tạm ứng		Vt
tạm ước		N
tan		Vit
tan cửa nát nhà		X
tan hoang		Aa
tan nát		Aa
tan rã		Vit
tan tác		Aa
tan tành		Aa
tan tầm		Vit
tan vỡ		Vit
tan xương nát thịt		Vit
tàn		N, Vit
tàn ác		Aa
tàn bạo		Aa
tàn binh		N, Ng
tàn canh		Vit
tàn dư		N
tàn hại		Vit
tàn hương		N
tàn khốc		Aa
tàn lụi		Vit
tàn ngược		Aa
tàn nhang		N, Ng
tàn nhẫn		Aa
tàn phá		Vt
tàn phế		Aa
tàn quân		N, Ng
tàn sát		Vt
tàn tạ		Vit
tàn tán		N
tàn tật		Aa
tàn tệ		Aa
tàn tích		N
tản		N, Vit
tản bộ		Vit
tản cư		Vit
tản mác		Vit, Aa
tản mạn		Aa
tản mát		Vit, Aa
tản thực vật		N, Ng
tản văn		N, Ng
tán		N, Vt
tán dóc		Vit
tán dương		Vt
tán đồng		Vt
tán gẫu		Vit
tán hươu tán vượn		X
tán loạn		Vit
tán phát		Vt
tán phễu		Vit
tán phiệu		Vit
tán sắc		Vit
tán thành		Vt
tán thưởng		Vt
tán tỉnh		Vit
tán tụng		Vt
tán xạ		Vit
tananh		Np
TAND		Np
tang		N
tang bồng		N
tang bồng hồ thỉ		N
tang chế		N
tang chủ		N, Ng
tang chứng		N, Ng
tang gia		N
tang gia bối rối		X
tang lễ		N
tang phục		N, Ng
tang sự		N
tang tảng sáng		Aa
tang thương		N, Aa
tang tích		N
tang tóc		Aa
tang vật		N, Ng
tàng		Aa
tàng hình		Vit
tàng tàng		Aa
tàng tàng		Aa
tàng trữ		Vt
tảng		N, Vit
tảng lờ		Vit
tảng sáng		Aa
táng		Vit, Vt
táng đởm		Vit
táng đởm kinh hồn		Vit
táng tận lương tâm		Vit
tạng		N
tạng phủ		N, Ng
tango		Np
tanh		Aa, Jd
tanh banh		Aa
tanh bành		Aa
tanh hôi		Aa
tanh tao		Aa
tanh tưởi		Aa
tánh		N
tạnh		Vit
tạnh ráo		Aa
tannin		Np
tao		N, Pp
tao đàn		N
tao khang		N
tao loạn		Vit
tao ngộ		Vit
tao ngộ chiến		Vit
tao nhã		Aa
tao nhân mặc khách		Np
tao phùng		Vit
tao tác		Aa
tào lao		Aa
tào phở		N, Ng
tảo		N, Vt
tảo hôn		Vit
tảo mộ		Vit
tảo tần		Vit
tảo thanh		Vit
tảo trừ		Vt
táo		N, Ng, Aa
táo bạo		Aa
táo bón		Aa
táo gan		Aa
táo quân		N, Ng
táo ta		N, Ng
táo tác		Aa
táo tàu		N, Ng
táo tây		N, Ng
táo tợn		Aa
tạo		N, Vt
tạo dựng		Vt
tạo hình		Vit
tạo hoá		N
tạo lập		Vt
tạo tác		Vt
tạo vật		N
táp		N, Vt
táp nham		Aa
tạp		Aa
tạp ăn		Vit
tạp âm		N
tạp chất		N, Ng
tạp chí		N, Ng
tạp chủng		N, Ng
tạp dề		N, Ng
tạp dịch		N
tạp giao		Vit
tạp hoá		N, Ng
tạp hôn		N
tạp kĩ		N, Ng
tạp kỹ		N, Ng
tạp nham		Aa
tạp nhạp		Aa
tạp phẩm		N, Ng
tạp văn		N, Ng
tạp vụ		N, Ng
tarô		Np, Vit
tát		N, Ng, Vt
tát tai		Vit
tạt		Vt
tatăng		Np
tau		N, Aa
tàu		N, Ng, Nu, Np
tàu bay		N, Ng
tàu bè		N, Ng
tàu biển		N, Ng
tàu bò		N, Ng
tàu chậm		N, Ng
tàu chiến		N, Ng
tàu chở máy bay		N, Ng
tàu chợ		N, Ng
tàu con thoi		N, Ng
tàu cuốc		N, Ng
tàu điện		N, Ng
tàu điện ngầm		N, Ng
tàu đổ bộ		N, Ng
tàu há mồm		N, Ng
tàu hoả		N, Ng
tàu khu trục		N, Ng
tàu lặn		N, Ng
tàu ngầm		N, Ng
tàu nhanh		N, Ng
tàu ô		N
tàu sân bay		N, Ng
tàu suốt		N
tàu tàu		Aa
tàu thuỷ		N, Ng
tàu thuyền		N, Ng
tàu tốc hành		N, Ng
tàu tuần dương		N, Ng
tàu tuần tiễu		N, Ng
tàu vét		N, Ng
tàu vũ trụ		N, Ng
táu		N, Ng
taxi		N, Ng
tay		N, Ng
tay áo		N, Ng
tay ấn		N
tay ba		N
tay bắt mặt mừng		X
tay cầm		N, Ng
tay chân		N, Ng
tay chơi		N, Ng
tay đẫy		N, Ng
tay đôi		N
tay hòm chìa khoá		X
tay lái		N, Ng
tay làm hàm nhai		X
tay mặt		N, Ng
tay nải		N, Ng
tay ngang		N
tay nghề		N
tay phải		N
tay quay		N 
tay sai		N, Ng
tay thước		N, Ng
tay trái		N, N
tay trắng		N
tay trong		N
tay vịn		N, Ng
tay xách nách mang		X
tày		Vtc, Aa
tày đình		Aa
tày liếp		N
tày trời		Aa
táy máy		Vit
tắc		Vt
tắc họng		Vit
tắc kè		N, Ng
tắc lưỡi		Vit
tắc nghẽn		Vit, Vt
tắc ráng		N, Ng
tắc-te		N, Ng
tắc tị		Vit
tắc trách		Aa
tắc-xi		N, Ng
tặc lưỡi		Vit
tăcte		Np
tăcxi		Np
tăm		N, Ng, Vt
tăm dạng		N
tăm hơi		N
tăm tắp		Jd
tăm tích		N
tăm tiếng		N
tăm tối		Aa
tằm		N, Ng
tằm tang		N, Ng
tằm tơ		N, Ng
tắm		Vit
tắm giặt		Vit
tắm gội		Vit
tắm rửa		Vit
tắm táp		Vit
tằn tiện		Vit
tẳn mẳn		N
tăng		N, Vtc
tăng âm		Vit
tăng bo		Vit
tăng cường		Vt
tăng đồ		N, Ng
tăng gia		Vit
tăng gia sản xuất		Vit
tăng giá		Vt
tăng-gô		N, Ng
tăng lữ		N, Ng
tăng ni		N, Ng
tăng sản		Vit
tăng sê		N
tăng tả		Aa
tăng tiến		Vit
tăng tốc		Vit
tăng trọng		Vit
tăng trưởng		Vit
tăng viện		Vit
tằng hắng		Vit
tằng tịu		Vit
tằng tổ		N, Ng
tặng		Vt
tặng phẩm		N, Ng
tặng thưởng		Vt
tặng vật		N, Ng
tăngbo		Vit
tănggô		N, Ng
tăngsê		Np
tắp		Vit, Jd
tắp lự		Jd
tắt		Vt, Aa
tắt hơi		Vit
tắt kinh		Vit
tắt lửa tối đèn		X
tắt mắt		Vit
tắt ngấm		Vit
tắt ngấm tắt ngầm		Vit
tắt nghỉ		Vit
tắt ngóm		Vit
tắt thở		Vit
tấc		N
tấc gang		N, Ng
tâm		N
tâm bão		N, Ng
tâm bệnh		N
tâm can		N
tâm đắc		Vt
tâm đầu ý hợp		Aa
tâm địa		N
tâm đối xứng		N, Ng
tâm giao		Aa
tâm hồn		N
tâm huyết		N, Aa
tâm khảm		N
tâm lí		N, Aa
tâm lí chiến		N
tâm lí học		N
tâm linh		N
tâm lực		N
tâm lý		N
tâm não		N
tâm ngẩm		Aa
tâm nhĩ		N, Ng
tâm niệm		Vt
tâm phúc		Aa
tâm phục		Vit
tâm phục khẩu phục		Vit
tâm sinh lí		Aa
tâm sinh lý		Aa
tâm sự		N, Vit
tâm sức		N
tâm thần		N
tâm thất		N, Ng
tâm thuật		N
tâm thư		N
tâm thức		N
tâm tình		N, Vit, Aa
tâm tính		N
tâm trạng		N
tâm trí		N
tâm tư		N
tâm tưởng		N
tầm		N, Vt
tầm bậy		Aa
tầm chương trích cú		Vit
tầm cỡ		N
tầm gửi		N, Ng
tầm mắt		N
tầm mức		N
tầm nã		Vt
tầm nhìn xa		N
tầm phào		Aa
tầm phơ		Aa
tầm quất		Vit
tầm sét		N
tầm súng		N
tầm sư học đạo		X
tầm tã		Aa
tầm tầm		N, Aa
tầm tầm		N, An
tầm thước		An
tầm thường		Aa
tầm vóc		N
tầm vông		N, Ng
tầm xích		N, Ng
tầm xuân		N, Ng
tẩm		Vt, Aa
tẩm bổ		Vit
tẩm ngẩm		Aa
tẩm quất		Vit
tấm		N
tấm bé		N
tấm lợp		N, Ng
tấm tắc		Vt
tấm tức		Vit
tậm tịt		Aa
tân		N, Aa
tân binh		N, Ng
tân dược		N, Ng
tân gia		N, Ng
tân học		N
tân hôn		N
tân khách		N, Ng
tân khoa		N
tân khổ		Aa
tân kì		Aa
tân kỳ		Aa
tân lang		N, Ng
tân ngữ		N
tân sinh		N
tân tạo		Vt
tân thời		Aa
tân tiến		Aa
tân toan		Aa
tân trang		Vit
Tân Ước		Np
tân văn		N
tần		Vt
tần mần		Vt
tần mần		Aa
tần ngần		Vit
tần phiền		Vt
tần số		N
tần suất		N
tần tảo		Vit
tần tiện		Vit
tẩn		Vt
tẩn mẩn		Aa
tấn		N, Vt
tấn công		Vt
tấn phong		Vt
tấn sĩ		N
tấn tới		Vit
tận		Aa, Cm
tận cùng		Vit, Aa
tận diệt		Vt
tận dụng		Vt
tận hưởng		Vta
tận lực		Aa
tận mắt		Aa
tận số		Aa
tận tay		Aa
tận tâm		Aa
tận thế		Aa
tận thu		Vt
tận tình		Aa
tận tuỵ		Aa
tận từ		Aa
tâng		Vt
tâng bốc		Vt
tâng công		Vit
tâng hẩng		Vit
tâng tâng		Aa
tầng		N
tầng lớp		N
tầng ozon		N, Ng
tấp		Vit
tấp nập		Aa
tấp tểnh		Vt
tập		N, Vt
tập ấm		Vit
tập dượt		Vt
tập đại thành		N, Vit
tập đoàn		N, Ng, Aa
tập đoàn cứ điểm		N, Ng
tập đoàn quân		N, Ng
tập hậu		Vit
tập hợp		N, Ng, Vt
tập hợp con		N, Ng
tập huấn		Vt
tập kết		Vit
tập kích		Vit
tập luyện		Vt
tập nhiễm		Vt
tập quán		N
tập quyền		Vit
tập san		N, Ng
tập sự		Vit
tập tàng		Aa
tập tành		Vit
tập tễnh		Aa
tập thể		N, Ng, Aa
tập thể dục		Vit
tập thể hoá		Vt
tập tính		N
tập tọng		Aa
tập trận		Vit
tập trung		Vt
tập trung dân chủ		N
tập trung tư bản		Vit
tập tục		N
tập vở		N, Ng
tất		N, Ng, Pn, Ja
tất bật		Aa
tất cả		Pn
tất nhiên		Aa
tất niên		N
tất ta tất tưởi		Aa
tất tả		Aa
tất tần tật		Pn
tất tật		Pn
tất thảy		Pn
tất thắng		Vit
tất tưởi		Aa
tất yếu		Aa
tật		N
tật bệnh		N
tật nguyền		N, Aa
tâu		Vt
tâu bày		Vt
tầu		N, Ng, Aa
tầu bay		N, Ng
tẩu		N, Ng, Vit
tẩu cẩu		N
tẩu mã		N
tẩu tán		Vit
tẩu thoát		Vit
tấu		N, Vt
tậu		Vt
tây		N, Aa
tây học		N
tây riêng		Aa
tây vị		Vt
tây y		N
tầy		Vtc, Aa
tầy đình		Aa
tầy trời		Aa
tẩy		N, Ng, Vt
tẩy chay		Vt
tẩy não		Vit
tẩy oan		Vit
tẩy rửa		Vt
tẩy rửa tiền		X
tẩy trang		Vit
tẩy trần		Vit
tẩy trừ		Vt
tẩy uế		Vit
tẩy xoá		Vit
tấy		Vit
TB		X
T.B.		X
TDTT		Np
tđd		X
te		N, Vt, Aa
te tái		Aa
te te		Vit, Aa
te tua		Aa
tè		Vit, Aa
tè he		Aa
tẻ		N, Aa
tẻ ngắt		Aa
tẻ nhạt		Aa
tẽ		Vt
té		Vt, Vit
té nước theo mưa		X
té ra		X
té re		Vit
té tát		Aa
téc		N, Ng
Tel		X
telephon		Np, Vit
teletyp		Np
telex		Np
tem		N, Ng
tem thư		N, Ng
tèm lem		Aa
tèm nhèm		Aa
tém		Vt
ten		N, Vit
ten nít		N, Ng
tẽn		Aa
tẽn tò		Aa
tenge		Np
tennis		Np
tennit		Np
teo		Vitb
teo tóp		Aa
tẻo teo		An
tẻo tèo teo		An
téo		N
tẹo		N
tép		N, Ng, Nu, Aa
tép riu		N, Ng
tẹp nhẹp		Aa
ter		Aa
test		Np
tét		Vt
tẹt		Aa
tetanos		Np
tetracyclin		Np
tetraxiclin		Np
tê		N, Pd, Aa
tê dại		Aa
tê giác		N, Ng
tê-lê-phon		N, Ng, Vit
tê-lê-típ		Np
tê-lếc		Np
tê liệt		Aa
tê mê		Aa
tê ngưu		N, Ng
tê ta nốt		N, Ng
tê tái		Aa
tê tê		N, Ng
tê thấp		N
tề		N, Pd, Vt
tề chỉnh		Aa
tề điệp		N, Ng
tề gia		Vit
tề gia nội trợ		Vit
tề nguỵ		N, Ng
tề tựu		Vit
tể tướng		N, Ng
tễ		N
tế		N, Vt
tế bào		N
tế bần		Vit
tế độ		Vit
tế lễ		Vit
tế nhị		Aa
tế nhuyễn		N, Ng
tế tự		Vt
tế tửu		N
tế vi		Aa
tệ		N, Aa, Jd
tệ bạc		Aa
tệ đoan		N
tệ hại		N, Aa, Jd
tệ lậu		N
tệ nạn		N
tệ tục		N
tệ xá		N, Ng
tếch		N, Vit
têm		Vt
tên		N, Ng
tên chữ		N, Ng
tên cúng cơm		N, Ng
tên hèm		N, Ng
tên hiệu		N, Ng
tên huý		N, Ng
tên lửa		N, Ng
tên lửa đạn đạo		N, Ng
tên lửa vũ trụ		N, Ng
tên riêng		N, Ng
tên rơi đạn lạc		X
tên thánh		N, Ng
tên thuỵ		N, Ng
tên tục		N, Ng
tên tuổi		N, Ng
tên tự		N, Ng
tênh		Jd
tênh hênh		Aa
tênh tênh		Aa
tềnh toàng		Aa
tệp		N, Ng
tết		N, Vt
Tết dương lịch		N
tết nhất		N
Tết ta		N
Tết tây		N
têtanôt		Np
tếu		Aa
tếu táo		Aa
tha		Vt
tha bổng		Vit
tha hoá		Vit
tha hồ		Jd
tha hương		N
tha ma		N
tha phương		N
tha phương cầu thực		Vit
tha thẩn		Aa
tha thiết		Aa
tha thủi		Aa
tha thứ		Vt
tha thướt		Aa
thà		Cc
thà là		Cc
thà rằng		Cc
thả		Vt
thả bộ		Vit
thả con săn sắt bắt con cá rô		X
thả con săn sắt bắt con cá sộp		X
thả cửa		Aa
thả hổ về rừng		X
thả lỏng		Vit
thả mồi bắt bóng		X
thả nổi		Vt
thả sức		Aa
thá		N
thác		N, Ng, Vt, Vit
thác loạn		Aa
thạc sĩ		N
thách		Vt
thách		Vt, Aa
thách cưới		Vit
thách đố		Vt
thách thức		N, Ng, Vit
thạch		N
thạch anh		N
thạch bàn		N
thạch bản		N
thạch cao		N, Ng
thạch học		N
thạch lựu		N, Ng
thạch nhũ		N
thạch quyển		N
thạch sùng		N, Ng
thạch tín		N, Ng
thạch xương bồ		N, Ng
thai		N, Ng
thai nghén		Vit
thai nhi		N, Ng
thai phụ		N, Ng
thai sản		Vit
thai sinh		Vit
thài lài		N, Ng
thải		Vt
thải hồi		Vt
thải loại		Vt
thải trừ		Vt
thái		Vt, Aa
thái ấp		N, Ng
thái bình		Aa
thái cổ		Aa
thái cực		N
thái cực quyền		N
thái dương		N
thái dương		N
Thái Dương Hệ		N
thái độ		N, Ng
thái giám		N, Ng
thái hậu		N, Ng
thái hoà		Aa
thái miếu		N, Ng
thái quá		Jd
thái sư		N, Ng
thái thú		N, Ng
thái thượng hoàng		N, Ng
thái tử		N, Ng
thái uý		N, Ng
thái y		N, Ng
tham		N, Vt
tham bác		Vit
tham biện		N, Ng
tham chiến		Vit
tham chính		Vit
tham công tiếc việc		Vit
tham dự		Vt
tham đó bỏ đăng		X
tham gia		Vt
tham khảo		Vt
tham lam		Aa
tham luận		N, Ng, Vit
tham mưu		Vit
tham mưu trưởng		N, Ng
tham nghị		N, Ng, Vit
tham nhũng		Vit
tham ô		Vt
tham quan		Vit
tham quan ô lại		Np
tham quyền cố vị		Vit
tham sinh uý tử		Vit
tham số		N
tham tá		N, Ng
tham tàn		Aa
tham tán		N, Ng
tham tán công sứ		N, Ng
tham tri		N, Ng
tham tụng		N
tham vấn		Vit
tham vọng		N, Ng
thảm		N, Aa
thảm bại		N, Vit
thảm cảnh		N
thảm đạm		Aa
thảm hại		Aa
thảm hoạ		N
thảm khốc		Aa
thảm kịch		N
thảm sát		Vt
thảm sầu		Aa
thảm thê		Aa
thảm thiết		Aa
thảm thực vật		N, Ng
thảm thương		Aa
thảm trạng		N
thám báo		N, Ng
thám hiểm		Vt
thám hoa		N
thám sát		Vt
thám thính		Vt
thám tử		N, Ng
than		N, Ng, Vt
than béo		N, Ng
than bùn		N, Ng
than cám		N, Ng
than chì		N, Ng
than cốc		N, Ng
than củ		N, Ng
than đá		N, Ng
than gầy		N, Ng
than khóc		Vit
than luyện		N, Ng
than luyện cốc		N, Ng
than mỏ		N, Ng
than mỡ		N, Ng
than nâu		N, Ng
than ôi		E
than phiền		Vit
than quả bàng		N, Ng
than thở		Vit
than tổ ong		N, Ng
than trắng		N, Ng
than van		Vit
than vãn		Vit
thản nhiên		Aa
thán khí		N, Ng
thán phục		Vt
thán từ		N
thang		N
thang âm		N
thang độ		N
thang gác		N, Ng
thang máy		N, Ng
thang nhiệt độ bách phân		N, Ng
thang nhiệt độ Celsius		N, Ng
thang nhiệt độ Fahrenheit		N, Ng
thảng hoặc		Jr, Cc
thảng thốt		Vit, Aa
tháng		N
tháng âm lịch		N
tháng ba ngày tám		X
tháng chạp		N
tháng củ mật		N
tháng dương lịch		N
tháng đủ		N
tháng giêng		N
tháng một		N
tháng ngày		N
tháng thiếu		N
thanh		N, Aa
thanh âm		N
thanh bạch		Aa
thanh bần		Aa
thanh bình		Aa
thanh cảnh		Aa
thanh cao		Aa
thanh danh		N
thanh đạm		Aa
thanh điệu		N
thanh đới		N
thanh giằng		N
thanh hao		N
thanh khí		N
thanh khiết		Aa
thanh la		N
thanh lâu		N, Ng
thanh lí		Vt
thanh lịch		Aa
thanh liêm		Aa
thanh lọc		Vt
thanh long		N, Ng
thanh lý		Vt
thanh mai		N
thanh mảnh		Aa
thanh minh		N
thanh minh		N, Vit
thanh nhã		Aa
thanh nhạc		N
thanh nhàn		Aa
thanh niên		N, Ng, Aa
thanh nữ		N, Ng
thanh quản		N, Ng
thanh quang		Aa
thanh sạch		Aa
thanh sát		Vt
thanh sắc		N
thanh tao		Aa
thanh tân		Aa
thanh thả		Aa
thanh thản		Aa
thanh thế		N, Ng
thanh thiên		N
thanh thiên bạch nhật		Np
thanh thiếu niên		N, Ng
thanh thoả		Aa
thanh thoát		Aa
thanh tịnh		Aa
thanh toán		Vt
thanh tra		N, Ng, Vt
thanh trà		N, Ng
thanh trùng		Vit
thanh truyền		N, Ng
thanh trừ		Vt
thanh trừng		Vt
thanh tú		Aa
thanh vắng		Aa
thanh vận		Vit
thanh xuân		Aa
thanh yên		N, Ng
thành		N, Ng, Vtb, Aa
thành bại		Vit
thành bộ		N
thành chung		N
thành công		N, Ng, Vit
thành danh		Vit
thành đạt		Vit
thành đoàn		N, Ng
thành đội		N, Ng
thành đồng		N
thành hình		Vit
thành hoàng		N, Ng
thành hội		N, Ng
thành hôn		Vit
thành khẩn		Aa
thành khí		Aa
thành kiến		N, Vit
thành kính		Aa
thành lập		Vt
thành luỹ		N, Ng
thành ngữ		N
thành niên		Aa
thành nội		N, Ng
thành phẩm		N, Ng
thành phần		N, Ng
thành phố		N, Ng
thành quả		N
thành quách		N, Ng
thành ra		Cc
thành tạo		Vt
thành tâm		Aa
thành tấm thành món		X
thành thạo		Aa
thành thân		Vit
thành thân		Vit
thành thật		Aa
thành thị		N, Ng
thành thục		Aa
thành thử		Cc
thành thực		Aa
thành tích		N
thành tích bất hảo		X
thành tố		N
thành trì		N
thành tựu		N, Vit
thành uỷ		N
thành uỷ viên		N, Ng
thành văn		Aa
thành viên		N, Ng
thành ý		Aa
thảnh thơi		Aa
thánh		N, Aa
thánh ca		N, Ng
thánh chỉ		N, Ng
thánh địa		N, Ng
thánh đường		N, Ng
thánh giá		N
thánh giá		N
thánh hiền		N, Ng
thánh kinh		N, Ng
thánh mẫu		N, Ng
thánh nhân		N, Ng
thánh sống		N, Ng
thánh sư		N, Ng
thánh tha thánh thót		Aa
thánh thần		N, Ng
thánh thất		N, Ng
thánh thể		N, Ng
thánh thót		Aa
thánh thượng		N, Ng
thánh tướng		Aa
thạnh		Vit, Aa
thao		N
thao diễn		Vt
thao láo		Aa
thao luyện		Vt
thao lược		N, Aa
thao tác		N, Ng, Vt
thao thao		Aa
thao thao bất tuyệt		Aa
thao thức		Vit
thao trường		N, Ng
thao túng		Vt
thào		Vit
thảo		N, Vt, Aa
thảo cầm viên		N, Ng
thảo dã		Aa
thảo hèn		Cc
thảo lảo		Aa
thảo luận		Vt
thảo mộc		N, Ng
thảo nào		Cc
thảo nguyên		N, Ng
thảo quả		N, Ng
thảo quyết minh		N, Ng
tháo		Vt
tháo chạy		Vit
tháo cũi sổ lồng		X
tháo dạ		Vit
tháo dỡ		Vt
tháo gỡ		Vt
tháo khoán		Vit
tháo lui		Vit
tháo thân		Vit
tháo tỏng		Vit
tháo vát		Aa
thạo		Aa
thạo đời		Aa
tháp		N, Ng, Vt
tháp canh		N, Ng
tháp ngà		N, Ng
tháp nước		N, Ng
tháp tùng		Vt
thạp		N, Ng
thau		N, Vt, Vit
thau chua rửa mặn		X
thau tháu		Aa
tháu		Aa
tháu cáy		Vt
thay		Vt, E
thay da đổi thịt		X
thay đổi		Vt
thay lảy		Aa
thay lòng đổi dạ		Vit
thay mặt		Vt
thay ngựa giữa dòng		X
thay thầy đổi chủ		X
thay thế		Vt
thay vì		Vt
thày		N, Ng
thày lay		Vit
thảy		Pn, Vt
thắc mắc		N, Vit
thắc thỏm		Vit
thăm		N, Vt
thăm dò		Vt
thăm hỏi		Vt
thăm nom		Vt
thăm nuôi		Vt
thăm thẳm		An
thăm thú		Vt
thăm viếng		Vt
thẳm		An
thắm		Aa
thắm thiết		Aa
thăn		N, Ng
thằn lằn		N, Ng
thăng		N, Vit
thăng bằng		N, Vit, Aa
thăng bình		Aa
thăng hà		Vit
thăng hoa		Vit
thăng quan tiến chức		Vit
thăng thiên		Vit
thăng thưởng		Vit
thăng tiến		Vit
thăng trầm		Aa
thằng		N
thằng cha		N, Ng
thằng thúc		Vt
thẳng		Aa
thẳng băng		Aa
thẳng cánh		Aa
thẳng cánh cò bay		X
thẳng cẳng		Aa
thẳng đuồn đuột		Aa
thẳng đuỗn		Aa
thẳng đuột		Aa
thẳng đứng		Aa
thẳng góc		Aa
thẳng ruột ngựa		Aa
thẳng tay		Aa
thẳng tắp		Aa
thẳng thắn		Aa
thẳng thớm		Aa
thẳng thừng		Aa
thẳng tính		Aa
thẳng tuồn tuột		Aa
thẳng tuột		Aa
thắng		N, Vt
thắng cảnh		N, Ng
thắng cử		Vit
thắng địa		N
thắng lợi		N, Vit
thắng phụ		Vit
thắng thế		Vit
thắng tích		N, Ng
thặng		Aa
thặng dư		Aa
thắp		Vt
thắt		Vt
thắt buộc		Vit
thắt cổ		Vit
thắt cổ bồng		Aa
thắt đáy lưng ong		Aa
thắt lưng		N, Ng
thắt lưng buộc bụng		Vit
thắt ngặt		Aa
thắt nút		Vit
thâm		Vt, Aa
thâm canh		Vit
thâm căn cố đế		Aa
thâm cung		N, Ng
thâm độc		Aa
thâm giao		Aa
thâm hiểm		Aa
thâm hụt		Vt
thâm nghiêm		Aa
thâm nhập		Vt
thâm nhiễm		Vt
thâm nho		N, Ng, Aa
thâm niên		N, Ng
thâm quầng		Aa
thâm sâu		Aa
thâm sơn cùng cốc		Np
thâm tâm		N
thâm thấp		An
thâm thù		N, Vt
thâm thủng		Vt
thâm thuý		Aa
thâm trầm		Aa
thâm u		Aa
thâm uyên		Aa
thâm ý		N
thầm		Aa
thầm kín		Aa
thầm lặng		Aa
thầm lén		Aa
thầm thì		Vit, Aa
thầm thĩ		Vit, Aa
thầm vụng		Aa
thẩm		Vt
thẩm âm		Vit
thẩm cứu		Vit
thẩm định		Vt
